ship_imo;ship_name;country;departure;container_id;container_type;container_group;net_weight;gross_weight;owner;declared;contact;customs_ok
AMC1861710;Jayden;BD;201602183;FCUK1755843;4960;28VH;44804866.62;2240243.33;Streich-Wilkinson;Music, Tools, Automotive & Health;octavia@stammbednar.name;true
POG1615575;Lake Eribertoland;CR;2016021611;PDXW1549639;28VH;8888;16681047.32;500431.42;Senger and Sons;Movies & Jewelery;cindy.dubuque@roberts.org;true
SQH1155999;Aileen;GN;201602191;PLKO1661930;L2R3;L5R1;69102632.38;3455131.62;Thompson-Kautzer;Movies & Jewelery;otha@granteichmann.io;true
JCI1797526;Herminio;KH;2016021610;BXMT1827488;44R1;L5G1;4367327.08;436732.71;Herzog, Kassulke and Ledner;Tools, Outdoors, Music, Garden & Shoes;coty@white.com;true
MBV1836745;Port Guiseppeburgh;NO;2016021915;JYIE1892741;2161;28VH;4663065.05;139891.95;Rath-Schowalter;Kids, Toys & Books;brayan@rosenbaum.info;true
GYR1192020;Emardland;RU;201602156;LARQ1499256;2167;22R1;130500887.93;13050088.79;Bradtke and Sons;Games & Grocery;audrey.witting@hammes.com;true
GLV1922612;Eulalia;TD;201602178;ARDX1463154;4651;28VH;13648894.64;1364889.46;Buckridge, Cremin and Bednar;Jewelery, Grocery, Industrial, Tools & Baby;misael@dickinson.biz;true
NLH1771681;Port Noemie;TC;201602165;JFPX1246669;20H5;42VH;81606190.03;4080309.5;Balistreri-Medhurst;Home & Baby;eula@auerreilly.org;true
FUS1202266;East Mustafaland;GU;2016021816;ICAV1235470;4661;28VH;75857365.93;7585736.59;Klein-Jacobi;Games, Industrial, Garden, Shoes & Outdoors;muhammad@leschspencer.info;true
GLV1922612;Eulalia;TD;201602178;KEVU1145768;4002;28VH;67693745.69;6769374.57;Ritchie Group;Movies, Garden & Automotive;davon@wisoky.net;true
IWE1254579;North Creola;HR;2016021919;VDUQ1801278;20G2;22P1;30832497.26;1541624.86;Deckow-Friesen;Health, Computers & Kids;earlene_willms@streich.net;true
JET1053895;Jamil;TM;2016021914;CXZN1286843;4240;42R1;21078693.06;2107869.31;Rodriguez, Jacobson and Bashirian;Computers & Toys;elisa@muller.net;true
KSP1096387;Wiley;CF;201602199;YAZN1142572;2760;L5R1;20407248.54;1020362.43;Buckridge Inc;Tools, Movies, Computers & Beauty;jeanette.rath@gislason.com;true
GYR1192020;Emardland;RU;201602156;HVFU1799048;4000;28VH;53564920.26;2678246.01;Feeney Group;Home, Sports, Games & Health;dante.kertzmann@hahnrunte.info;true
GYR1192020;Emardland;RU;201602156;ROML1055099;24RS;29P0;8360782.02;418039.1;Macejkovic, Bartoletti and Bartell;Sports, Kids, Electronics, Computers & Beauty;moses@auerreichel.org;true
JMP1637582;East Zechariahland;AQ;2016021513;LONM1299749;40VH;12TR;196996852.39;9849842.62;Nicolas LLC;Books & Computers;carey.hickle@reichertadams.biz;true
