ship_imo;ship_name;country;departure;container_id;container_type;container_group;net_weight;gross_weight;owner;declared;contact;customs_ok
GUI1871167;Kirlinland;CV;201602151;FMBV1684747;4380;L5G1;37887434.11;1136623.02;Mueller and Sons;Kids, Toys, Music & Grocery;alvera@heaneyhickle.org;true
GUI1871167;Kirlinland;CV;201602151;DRTA1583206;42G3;42R1;62816014.62;1884480.44;Heaney, Rutherford and Bechtelar;Beauty;johathan@gorczany.biz;false
GUI1871167;Kirlinland;CV;201602151;YWNX1678369;44R1;22UP;36457632.51;1822881.63;Botsford-O'Reilly;Electronics & Clothing;rachael.rolfson@cummeratastoltenberg.org;true
GUI1871167;Kirlinland;CV;201602151;AHPX1117947;2167;8888;126168428.86;6308421.44;Purdy, Smitham and Gibson;Automotive, Movies & Beauty;phyllis@parisian.name;true
GUI1871167;Kirlinland;CV;201602151;YNEH1166118;49P5;L5G1;139934216.41;4198026.49;Muller-Muller;Baby;alison_yundt@ferry.co;false
GUI1871167;Kirlinland;CV;201602151;WMOD1633142;20B5;42VH;30120197.04;1506009.85;Nikolaus, Fritsch and Murray;Garden, Kids & Outdoors;nolan@hoppe.co;true
GUI1871167;Kirlinland;CV;201602151;TVPB1538998;22H1;42T0;96042140.5;4802107.03;Brakus LLC;Home;ricky_braun@williamson.net;true
GUI1871167;Kirlinland;CV;201602151;WKQS1342535;2275;22UP;20541914.72;2054191.47;Mante Inc;Jewelery, Beauty & Clothing;elmira_ullrich@dach.net;true
GUI1871167;Kirlinland;CV;201602151;XULI1742305;4004;22G0;3767451.39;113023.54;Ruecker, Koelpin and Larson;Beauty, Electronics & Home;nora@carrollankunding.net;true
GUI1871167;Kirlinland;CV;201602151;TOSG1264711;42T3;22H0;119374745.64;5968737.28;Pollich-Windler;Books, Outdoors, Jewelery, Music & Grocery;gay_bruen@bosco.io;true
GUI1871167;Kirlinland;CV;201602151;OMSV1060031;22U0;42T0;67181373.34;3359068.67;Botsford, Homenick and Pfeffer;Toys, Grocery & Shoes;randy@blandastoltenberg.co;true
GUI1871167;Kirlinland;CV;201602151;SZNI1141741;42H1;L5R1;35363385.92;3536338.59;Jaskolski and Sons;Jewelery & Sports;nichole@raynor.name;false
GUI1871167;Kirlinland;CV;201602151;UDGC1816533;4311;49P0;31050113.01;1552505.65;Wilderman-Gleichner;Outdoors, Music, Books & Computers;howard_lueilwitz@pollich.net;true
GUI1871167;Kirlinland;CV;201602151;IRZK1648979;2277;22P1;33840905.06;3384090.51;Konopelski-Beier;Kids, Baby & Garden;evert@schoen.io;true
GUI1871167;Kirlinland;CV;201602151;HMKP1549173;48UT;45G0;14677540.89;440326.23;Howe-Kshlerin;Beauty, Kids, Movies & Tools;marion@reichel.co;true
GUI1871167;Kirlinland;CV;201602151;WAPK1181435;42R1;22P1;7263232.75;217896.98;Crist and Sons;Garden & Sports;ursula@feest.info;true
GUI1871167;Kirlinland;CV;201602151;AFTS1238451;20V0;8888;19734497.29;1973449.73;Halvorson Group;Kids, Electronics & Outdoors;gerald.lemke@johns.com;true
GUI1871167;Kirlinland;CV;201602151;YBWZ1524626;29PL;22P1;197353184.19;9867659.21;Schimmel and Sons;Movies, Industrial & Sports;kelly_konopelski@daniel.org;true
GUI1871167;Kirlinland;CV;201602151;XJFW1782676;4310;22G0;89412566.88;8941256.69;Hintz Group;Tools, Electronics, Jewelery & Clothing;fabiola_dietrich@ohara.com;true
GUI1871167;Kirlinland;CV;201602151;SFBP1317375;26G1;22G0;35435496.69;3543549.67;Erdman, Jenkins and Durgan;Tools, Outdoors & Kids;bethany_nolan@waters.biz;true
GUI1871167;Kirlinland;CV;201602151;DNRB1937795;45RE;22U1;332192826.1;33219282.61;Witting-Rodriguez;Health & Sports;adrian_weimann@parkerhowell.org;true
GUI1871167;Kirlinland;CV;201602151;UYOI1160130;44H6;42T0;31483669.23;1574183.46;Wunsch-Wilkinson;Health;aimee.bernhard@schultz.org;true
GUI1871167;Kirlinland;CV;201602151;VGBL1988699;42R2;22T0;25247592.16;2524759.22;Barton Inc;Jewelery;fiona_bogisich@kohler.co;true
GUI1871167;Kirlinland;CV;201602151;NMAU1762220;2077;42UP;116281697.94;5814084.9;Hickle, Koepp and Schultz;Books;samanta@sawaynraynor.name;true
GUI1871167;Kirlinland;CV;201602151;CILG1290279;L2G3;22B0;16008186.77;480245.6;Schroeder LLC;Garden, Industrial, Beauty, Clothing & Health;tito@ratke.org;true
COB1191390;St. Elena;AL;201602192;CXTA1457978;2102;22UP;19816822.41;990841.12;Howe, Crooks and Metz;Kids, Tools & Grocery;lisandro.schmitt@beahaneffertz.info;true
COB1191390;St. Elena;AL;201602192;YZCU1076808;L5G1;45G0;32162325.35;964869.76;Dietrich-Nader;Kids, Garden & Health;rashad_waters@mclaughlin.co;true
