tx_id|tx_time|buyer|currency_code|payment_type|credit_card_number|country|department|product|item_price|coupon_code|was_returned
AXNUVSE118|2010-08-18T17:18:03Z|Marvin Schuster|EUR|FORBRUGSFORENINGEN|1926-1037-1080-1564|VI|Clothing|Aerodynamic Marble Shirt|70.41||false
FALOEQJ128|2010-07-01T07:26:48Z|Maegan Hessel DDS|CAD|MASTERCARD|1667-1092-1246-1932|SO|Games|Practical Concrete Keyboard|0.58||false
FALOEQJ128|2010-07-01T07:26:48Z|Maegan Hessel DDS|CAD|MASTERCARD|1667-1092-1246-1932|SO|Electronics|Durable Bronze Wallet|6.22||false
FALOEQJ128|2010-07-01T07:26:48Z|Maegan Hessel DDS|CAD|MASTERCARD|1667-1092-1246-1932|SO|Grocery|Mediocre Iron Plate|9.43||false
OWUXDYH117|2010-10-30T00:00:53Z|Bettie Bauch|EUR|MASTERCARD|1656-1723-1125-1324|SK|Music|Gorgeous Granite Gloves|19.67||defect
TJGYZFA178|2010-04-25T09:22:00Z|Josiane Halvorson DDS|JPY|DANKORT|1598-1140-1070-1282|HU|Beauty|Enormous Rubber Chair|90.61||bounce
JEVOPSK146|2010-11-12T19:42:33Z|Shad Littel|GBP|VISA|1602-1330-1053-1176|DE|Grocery|Sleek Rubber Bench|3.24||false
JEVOPSK146|2010-11-12T19:42:33Z|Shad Littel|GBP|VISA|1602-1330-1053-1176|DE|Toys|Rustic Cotton Coat|33.5||false
JEVOPSK146|2010-11-12T19:42:33Z|Shad Littel|GBP|VISA|1602-1330-1053-1176|DE|Electronics|Enormous Steel Wallet|24.21||bounce
JEVOPSK146|2010-11-12T19:42:33Z|Shad Littel|GBP|VISA|1602-1330-1053-1176|DE|Home|Sleek Plastic Bag|4.04||false
MZOYDWP157|2010-08-18T23:50:34Z|Vidal Harris|CAD|AMERICAN_EXPRESS|1532-1173-1586-1400|NO|Shoes|Synergistic Iron Lamp|29.98|ZMG2|false
PECAGZQ178|2010-06-22T21:08:33Z|Miss Otto Cartwright|EUR|JCB|1951-1795-1342-1214|CM|Computers|Durable Wool Lamp|28.45|FDO2|false
CQGJSDT192|2010-07-23T06:11:54Z|Winifred Collier|AUD|MASTERCARD|1673-1899-1972-1214|PT|Beauty|Mediocre Plastic Bench|6.16||false
CQGJSDT192|2010-07-23T06:11:54Z|Winifred Collier|AUD|MASTERCARD|1673-1899-1972-1214|PT|Movies|Incredible Plastic Knife|0.72||defect
CQGJSDT192|2010-07-23T06:11:54Z|Winifred Collier|AUD|MASTERCARD|1673-1899-1972-1214|PT|Baby|Lightweight Marble Wallet|46.18||defect
CQGJSDT192|2010-07-23T06:11:54Z|Winifred Collier|AUD|MASTERCARD|1673-1899-1972-1214|PT|Home|Heavy Duty Concrete Shoes|35.62|ICJ2|defect
NLFOZUH113|2010-02-03T12:51:10Z|Miss Emiliano Goodwin|GBP|FORBRUGSFORENINGEN|1755-1314-1452-1617|TT|Sports|Gorgeous Paper Pants|9.74||false
YECMUIN178|2010-06-02T17:44:02Z|Amelia O'Connell|USD|FORBRUGSFORENINGEN|1364-1860-1014-1755|DE|Jewelery|Practical Paper Keyboard|1.56||false
YECMUIN178|2010-06-02T17:44:02Z|Amelia O'Connell|USD|FORBRUGSFORENINGEN|1364-1860-1014-1755|DE|Electronics|Mediocre Wool Shoes|1.6||false
YECMUIN178|2010-06-02T17:44:02Z|Amelia O'Connell|USD|FORBRUGSFORENINGEN|1364-1860-1014-1755|DE|Beauty|Rustic Paper Bag|1.09||bounce
YECMUIN178|2010-06-02T17:44:02Z|Amelia O'Connell|USD|FORBRUGSFORENINGEN|1364-1860-1014-1755|DE|Music|Incredible Aluminum Gloves|1.06||false
YECMUIN178|2010-06-02T17:44:02Z|Amelia O'Connell|USD|FORBRUGSFORENINGEN|1364-1860-1014-1755|DE|Sports|Sleek Copper Pants|0.13||defect
YAVGTJF111|2010-02-10T19:42:04Z|Annie Lueilwitz|JPY|FORBRUGSFORENINGEN|1619-1343-1037-1207|SX|Kids|Fantastic Bronze Table|40.91||bounce
JLBSNMQ158|2010-02-02T11:52:41Z|Haley Adams|CAD|AMERICAN_EXPRESS|1784-1358-1388-1754|JM|Shoes|Fantastic Leather Chair|79.88||false
EJBXQPD138|2010-03-02T03:16:10Z|Wava Erdman|GBP|JCB|1980-1157-1083-1237|GS|Grocery|Ergonomic Marble Watch|2.97||defect
EJBXQPD138|2010-03-02T03:16:10Z|Wava Erdman|GBP|JCB|1980-1157-1083-1237|GS|Baby|Ergonomic Linen Car|4.42||false
EJBXQPD138|2010-03-02T03:16:10Z|Wava Erdman|GBP|JCB|1980-1157-1083-1237|GS|Electronics|Durable Granite Computer|8.86||bounce
EJBXQPD138|2010-03-02T03:16:10Z|Wava Erdman|GBP|JCB|1980-1157-1083-1237|GS|Garden|Fantastic Leather Gloves|13.84||false
EJBXQPD138|2010-03-02T03:16:10Z|Wava Erdman|GBP|JCB|1980-1157-1083-1237|GS|Electronics|Mediocre Granite Lamp|13.28||defect
UGNIOCJ140|2010-01-24T14:26:29Z|Cruz Hackett|USD|VISA|1736-1237-1966-1905|BQ|Clothing|Aerodynamic Aluminum Chair|5.7|TSD2|false
UGNIOCJ140|2010-01-24T14:26:29Z|Cruz Hackett|USD|VISA|1736-1237-1966-1905|BQ|Clothing|Rustic Linen Shoes|0.51||false
UGNIOCJ140|2010-01-24T14:26:29Z|Cruz Hackett|USD|VISA|1736-1237-1966-1905|BQ|Industrial|Lightweight Aluminum Gloves|22.37||defect
UGNIOCJ140|2010-01-24T14:26:29Z|Cruz Hackett|USD|VISA|1736-1237-1966-1905|BQ|Books|Durable Steel Pants|0.06||bounce
FXRIHCV158|2010-07-01T09:19:55Z|Royal Spinka|GBP|DANKORT|1023-1113-1623-1725|JM|Home|Mediocre Granite Shirt|14.7|DUX2|false
FXRIHCV158|2010-07-01T09:19:55Z|Royal Spinka|GBP|DANKORT|1023-1113-1623-1725|JM|Games|Heavy Duty Linen Watch|15.24||false
FXRIHCV158|2010-07-01T09:19:55Z|Royal Spinka|GBP|DANKORT|1023-1113-1623-1725|JM|Shoes|Synergistic Bronze Table|9.19||defect
FXRIHCV158|2010-07-01T09:19:55Z|Royal Spinka|GBP|DANKORT|1023-1113-1623-1725|JM|Shoes|Synergistic Wooden Plate|33.88||false
FXRIHCV158|2010-07-01T09:19:55Z|Royal Spinka|GBP|DANKORT|1023-1113-1623-1725|JM|Automotive|Small Granite Shoes|23.07||false
IMPJULZ188|2010-02-21T03:32:33Z|Chadd Spinka|AUD|FORBRUGSFORENINGEN|1557-1668-1622-1148|MX|Home|Mediocre Leather Clock|25.23||false
GNMHYZQ175|2010-08-14T02:38:18Z|Lempi Murphy|CAD|AMERICAN_EXPRESS|1404-1107-1313-1513|DZ|Books|Fantastic Concrete Computer|38.76||false
XALDFGW141|2010-09-12T14:50:01Z|Otto Rodriguez|GBP|AMERICAN_EXPRESS|1587-1960-1561-1994|JP|Computers|Practical Silk Lamp|3.52||false
XALDFGW141|2010-09-12T14:50:01Z|Otto Rodriguez|GBP|AMERICAN_EXPRESS|1587-1960-1561-1994|JP|Electronics|Synergistic Leather Pants|30.37||false
XALDFGW141|2010-09-12T14:50:01Z|Otto Rodriguez|GBP|AMERICAN_EXPRESS|1587-1960-1561-1994|JP|Sports|Awesome Silk Bottle|1.34||false
XALDFGW141|2010-09-12T14:50:01Z|Otto Rodriguez|GBP|AMERICAN_EXPRESS|1587-1960-1561-1994|JP|Toys|Incredible Linen Clock|19.98||false
